,text,neg,neu,pos,compound
90,"RT @scienceisstrat1: Good news alert 👇

Solar PV’s installed power capacity is poised to surpass natural gas by 2026 and coal by 2027, beco…",0.057,0.879,0.065,0.9682
91,"@itsameHansel @Eskom_SA 😂😂😂😂😂 well said. They are busy preaching green energy ""solar"" as the savior of South Africa… https://t.co/ITMHeHckvH",0.056,0.877,0.067,0.9783
92,"RT @__Injaneb96: Flashback to when Jimmy Carter, a liberal, &amp; his administration promoted Khomeini and helped him to remove Mohammadreza Pa…",0.055,0.877,0.068,0.9834
93,RT @alissajean: Hey FL. Your power bill is going up (again) because of decisions that your power company made to remain over-reliant on out…,0.055,0.879,0.067,0.9834
94,You look ugly today. Maybe if I ran on solar power your grandkids would live past 30. Die soon,0.059,0.875,0.066,0.9594
95,RT @AbbieRuramai: @nickmangwana Nonsense. Why do we have to import?  Chefs do not pay their Zesa bills. U have not built a single power sta…,0.06,0.874,0.066,0.944
96,Adani Green becomes world’s largest wind-solar hybrid power developer: The developer has commissioned a 450 MW wind… https://t.co/nmbUmx3iRn,0.059,0.875,0.065,0.944
97,Natural-$Gas Prices $Swing $Again in $Unseasonal $Slump.$Mild weather and an outage at a liquefied-natural-gas expo… https://t.co/RaRqe8OhQr,0.059,0.876,0.065,0.944
98,"@simonahac @Tesla @Solar_Quotes Elon needs to pay for Twitter somehow. Also lots of competition in BEV market, and some can power your home.",0.058,0.877,0.065,0.9479
99,"@AvidCommentator I think there's another factor at play, too. People want exposure to commodities, but it's incredi… https://t.co/Lpcqtq3Pkz",0.058,0.876,0.066,0.9641
100,solar power is one of the most interesting and unique concepts for an album i know its a shame yall didn’t give it the attention it deserves,0.059,0.874,0.067,0.9634
101,"BLAVOR Solar Charger with Foldable Panels, Outdoor Power Bank 18W Fast Charging, 20,000mAh Solar Powered Charger wi… https://t.co/TfOld8eIil",0.058,0.875,0.067,0.9634
102,RT @azrael2600: Getting word from extended family this is turning into a crises. Gas super expensive. No way to cook cuz gas is off and no…,0.059,0.873,0.068,0.9734
103,"We need such innovations to overcome our dependence on fossil fuels and transition smoothly towards green energy, e… https://t.co/HoMAaisFOT",0.058,0.873,0.069,0.9779
104,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.058,0.874,0.068,0.9779
105,"RT @JoelVeldkamp: Due to #sanctions, Iran is one of #Syria's only fuel suppliers.

The latest fuel tanker from Iran was 50 days late, becau…",0.057,0.875,0.068,0.9779
106,"So rather than becoming energy self  sufficient for the UK, we rely on other countries again to power our needs, ev… https://t.co/CfjdnlwuIW",0.057,0.875,0.068,0.9813
107,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.056,0.876,0.067,0.9813
108,"RT @_ComfortMedia: Solar Energy is Future!
Be part of the great revolution, let's move from Loadshedding to Solar system for a reliable pow…",0.055,0.874,0.07,0.9891
109,@ovidiuadrianart Oh man I hope you and your family will be okay! I am now in my third day without light and heating… https://t.co/iIe0ujdL8N,0.055,0.873,0.072,0.9919
110,Any solar power experts out here? Looking at a 3 phase system 10kw of panels and  8kw inverter for our 🏠... Have ha… https://t.co/OmLIoKen3Y,0.054,0.874,0.071,0.9919
111,"RT @AJPendleton: Important thread on the onshore wind ban, reports of the death of which are exaggerated. 

Don't be spun. It's still going…",0.059,0.87,0.071,0.9856
112,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.058,0.871,0.071,0.9856
113,RT @Ed_Crooks: Corporate purchases of #solar power are playing an increasingly significant role in the growth of the industry in the US. Ab…,0.057,0.869,0.073,0.9902
114,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.057,0.87,0.073,0.9902
115,"@JamesMelville Question,  when we can't use fossil fuels or natural gas/petrol, we have very limited atomic power ,… https://t.co/xqXUjSF9SC",0.058,0.869,0.073,0.9905
116,"RT @rinmor: One of the reasons poor Durbs only gets LS at stage 4 and then for only 2hrs/day, is that our power consumption is so low anywa…",0.06,0.868,0.072,0.9862
117,@SStapczynski Very silly argument that cheaper power bills will result in higher consumption. The subsidy of 20% is… https://t.co/kF9aAPfEB1,0.061,0.867,0.072,0.9834
118,RT @melaniedoak: Dutton did a TV advertisement for Eddie Kocwa who imports big American gas guzzling trucks when he was in government which…,0.06,0.868,0.072,0.9834
119,"Due to #sanctions, Iran is one of #Syria's only fuel suppliers.

The latest fuel tanker from Iran was 50 days late,… https://t.co/BRmBJxyzDX",0.06,0.869,0.071,0.9834
120,"RT @RailMinIndia: Progressing Towards Greener Railways!

Indian Railways is working in mission mode towards minimising its carbon footprint…",0.059,0.87,0.071,0.9834
121,The Senate Standing Committee on Power recently reported that Rs474 billion has been invested in @KElectricPk since… https://t.co/EUtpAQ2SG3,0.059,0.871,0.07,0.9834
122,"Honestly, this is enough. It's ok. No statement needed. Just plunge us into extended outages at will. We've been pr… https://t.co/HyrPOgHJ8L",0.059,0.869,0.072,0.9872
123,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.059,0.87,0.072,0.9872
124,RT @melaniedoak: Dutton did a TV advertisement for Eddie Kocwa who imports big American gas guzzling trucks when he was in government which…,0.058,0.871,0.071,0.9872
125,"Solar Power Africa focuses solely on creating an environment that fosters the exchange of ideas, knowledge and expe… https://t.co/GuSJic1hOK",0.058,0.871,0.072,0.9889
126,Natural-$Gas Prices $Swing $Again in $Unseasonal $Slump.$Mild weather and an outage at a liquefied-natural-gas expo… https://t.co/jgWk39ugJ3,0.058,0.871,0.071,0.9889
127,"RT @RailMinIndia: Progressing Towards Greener Railways!

Indian Railways is working in mission mode towards minimising its carbon footprint…",0.057,0.872,0.071,0.9889
128,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.057,0.873,0.07,0.9889
129,@WeRone777 @choosefreedomf1 @Moderna5G_666 @insane_voice @aSinister @DocSnow1 @Roadshow11235 @glinch72 @Lo_VVriter… https://t.co/fx4Gh2KkC9,0.057,0.873,0.07,0.9889
130,"@JDaviesPhD This article is spot on!  Externalise emotional distress by labeling/stigmatising as a forever disease,… https://t.co/hNvDNJzBqS",0.058,0.872,0.07,0.9862
131,"RT @daddyhope: What ZANUPF promises doesn’t get delivered.
That would have been ok if it allowed those with ideas to flourish, but I stands…",0.057,0.871,0.072,0.9901
132,ACEN acquires Sinocalan Solar #solar Power #solarpower - Power Line Magazine - Power Line Magazine… https://t.co/7QTVaD5D0x,0.057,0.872,0.071,0.9901
133,"RT @ProfKindeya: Joined an initiative assessing alternative, reliable, sustainable &amp; affordable power supply (biomass,wind,hydro &amp; solar) f…",0.057,0.872,0.071,0.9901
134,California Burning: The Fall of Pacific Gas and Electric--and What It Means for America's Power Grid CJESWED… https://t.co/rfrS5lduMR,0.056,0.873,0.07,0.9901
135,Cold snap sees surge in gas demand as more French nuclear power starts to come back online [GGP] https://t.co/blRhVJEcDw,0.056,0.874,0.07,0.9895
136,@c_grosa @rix_trevor @jespers_konto @IvanBaldwin5 @dorfman_p @nomve @AngelicaOung @RedinMagnus @Seahawksjared12 The… https://t.co/29I1zer3Ur,0.056,0.874,0.07,0.9895
